,lp__,ageTheta.1,ageTheta.2,ageTheta.3,timeTheta.1,timeTheta.2,timeTheta.3,timeTheta.4,timeTheta.5,timeTheta.6,timeTheta.7,timeTheta.8,timeTheta.9,timeTheta.10,timeTheta.11,timeTheta.12,timeTheta.13,weightTheta.1,weightTheta.2,weightTheta.3,weightTheta.4,weightTheta.5,weightTheta.6,bodyActivityTheta.1,bodyActivityTheta.2,bodyActivityTheta.3,bodyActivityTheta.4,bodyActivityTheta.5,bodyActivityTheta.6,metabolism.1,speed_loc,speed_error,T_loc,Rt_loc,T_error,RT_error,H_error,H_loc,summer_Mu,summer_std,winter_Mu,winter_std,tempNow_Mu,tempNow_std,nigaTheraml_Alfa,clothLayerTheta.1,clothLayerTheta.2,clothLayerTheta.3,clothLayerTheta.4,clothLayerTheta.5,thermalComf.1,thermalComf_std,lightControlAlfa,luminaireOFFAlfa,BlindOFFAlfa,daylightAlfa,dayLightAvaPro.1,daylight_std,artLights.1,artLights_std,lightLevel_error,latentLightlevel_mu,lightColor_error,lightColor_mu,nigaLightAlfa,LightFeel_mu,LightFeel_std,bImage_mu,bImage_std,colorComf_mu,colorComf_std,visualComf.1,visualComf_std,nigaNoise_Alfa,outNoiseAlfa,noiseNow_mu,noiseNow_std,p_sound_mu,p_sound_error,Gnoise_mu,Gnoise_std,backgNoise_Alfa,acou_isolation.1,acou_isolation_mu,acou_isolation_std,AcousComfort.1,AcousComfort_std,lpg_error,lpg_mu,alcohol_mu,alcohol_error,nitric_mu,nitric_error,ch2o_mu,ch2o_error,voc_mu,voc_error,methane_mu,methane_error,odorAlfa,vocCons.1,vocCons_std,vocCons_shape,co2_error,co2_mu,o2_error,o2_mu,co_mu,co_error,h2_mu,h2_error,airQuality.1,airQuality_mu,airQuality_std,airQuality_skew,a1,a2,a3,a4,acControlAlfa,sleepyAlfa,odorUsuAlfa,nigaAirAlfa,vent_mu,vent_std,aSpNow_mu,aSpNow_std,airQualityComf.1,airQualityComf_std,bComfort.1,bComfort_std,c,c1,c2,b3,b1,b2,acSystem.1,acSystem_std,thermal_isolation.1,thermal_isolation_std,ventSystem.1,ventSystem_std,posterior_log,met_a1,met_a2,met_a3,met_a4,met_const,therm_a1,therm_a2,therm_a3,therm_a4,therm_a5,therm_a6,therm_a7,therm_a8,therm_a9,therm_a10,therm_const,bui_a1,bui_a2,bui_a3,bui_a4,bui_const,light_a1,light_a2,light_a3,light_a4,light_cons,visual_a1,visual_a2,visual_a3,visual_a4,visual_a5,visual_a6,visual_a7,visual_cons,acous_a1,acous_a2,acous_a3,acous_a4,acous_a5,acous_a6,acous_a7,acous_cons,alfa_DayL.1,vocCons_mu,airQualityComf_mu,thermal_isolation_mu,bComfort_mu,ventSystem_mu,AcousComfort_mu,acSystem_mu,mean_acou_isolation_mu,visualComf_mu,thermalComf_mu
0,-2863730000.0,0.712775,0.242061,0.0451641,0.000184721,0.122068,0.349407,0.314454,0.21232,3.68795e-05,0.000724574,7.29332e-05,0.000148016,0.000121681,0.000425614,2.15323e-05,1.53032e-05,0.201035,0.258726,0.205883,0.107028,0.193871,0.0334574,0.328047,0.119226,0.334209,0.124389,0.0443064,0.0498227,1.62517,0.85,0.1,23.3949,26.8167,1.00622,1.54859,0.999963,56.7268,2.74072,0.981826,2.72618,0.764033,2.89266,0.910696,0.507944,0.19466,0.211482,0.0369173,4.10785e-05,0.556899,-0.711435,1.17353,0.901207,0.521423,0.507711,0.246114,1.80428,329829.0,-2.64392,5.00376,10.0,0.996513,10,5935.49,0.352742,3.4371,1.06209,2.05238,1.39248,3.74191,1.18963,0.561241,1.16759,0.342238,0.122382,2.995,1.02507,32.3579,9.99859,3.26882,0.908079,0.177488,-0.488311,10.0008,1.06265,-0.0744509,1.15939,0.448539,2.88995,0.00260522,0.00100059,0.370141,0.175392,0.401369,0.0999969,10.0001,6.26931,0.262371,0.0777786,0.0463612,1.09179,1.21031,1.05474,149.993,200.004,0.132309,20.2731,5.10251,1.01757,10.0,1.0,3.29553,46.7847,9.99958,1.0,-0.00757865,0.922044,0.908244,-6.63357,0.306936,0.292155,0.152,0.341618,2.81592,0.948131,1.56885,0.493715,-0.474737,1.1598,-0.263846,1.2011,0.276619,-0.017827,-0.00482941,0.569755,-0.0137752,-0.0193448,3.24907,29.9993,-1.44793,1.11899,-1.86756,1.11884,-2.67306,-0.482074,-0.073626,0.280625,-0.991914,0.389925,0.0141528,0.024045,0.000441616,0.00856246,0.00788357,-0.249594,0.133288,0.295096,0.91934,-0.0760709,-4.7938,0.00101197,0.0916727,0.0817544,-0.122457,-1.11723,2.89688e-05,0.766439,0.0166609,0.635076,0.352136,0.285527,1.98955e-05,-0.655374,-0.139774,-0.110836,0.0588923,-0.242064,0.915982,-0.322206,0.624146,-0.00632745,0.129194,-0.43782,-0.000333605,0.156279,0.896511,0.124955,1.71354,-0.0248259,0.0338663,-1.09367,-0.0874018,0.0643421,6.07971,10.0008,0.0820883,0.0406038
1,-2863730000.0,0.712637,0.240167,0.0471956,0.000819534,0.120329,0.35585,0.312544,0.208718,4.96351e-05,0.000537519,7.64225e-05,0.000265747,0.000214446,0.000550514,2.3578e-05,2.18156e-05,0.204439,0.259675,0.201387,0.10761,0.19286,0.03403,0.32337,0.123955,0.334114,0.125466,0.0451842,0.0479105,1.52139,0.85,0.1,23.3632,26.6351,1.01859,1.54597,0.99995,56.7174,2.75322,0.990345,2.72433,0.769822,2.8786,0.911299,0.512516,0.195229,0.207354,0.0355644,3.16075e-05,0.561821,-0.618161,1.17211,0.909495,0.526063,0.541165,0.250899,2.1895,436898.0,-2.29868,5.00572,10.0,0.998013,10,5936.22,0.354182,3.4375,1.06972,2.05089,1.38093,3.76205,1.1892,0.878659,1.16205,0.344848,0.117641,3.0163,1.0202,32.3228,9.99834,3.28462,0.911085,0.188672,0.0235436,10.0047,1.06347,-0.282622,1.16208,0.442544,2.88347,0.00259805,0.00100159,0.369775,0.174971,0.400757,0.0999977,10.0003,6.31138,0.262296,0.0777918,0.0465368,1.25858,1.20215,1.0838,149.99,200.009,0.134105,20.2749,5.09427,1.01351,10.0,1.0,3.63728,46.716,9.99988,1.0,-0.00660656,0.936087,0.878334,-6.56512,0.304263,0.29986,0.153648,0.346164,2.81208,0.945692,1.56867,0.49507,-0.300997,1.15952,0.0770196,1.19008,0.287289,-0.0315457,-0.00480188,0.487866,-0.0126988,-0.0170699,3.58289,29.9996,-1.01212,1.11981,-2.08434,1.107,-3.38782,-0.410844,-0.23147,0.156928,-0.990328,0.179078,0.010834,0.0174231,0.00246049,0.0398547,0.0121246,-0.233197,0.0314767,0.382821,0.947254,-0.0636602,-4.99415,0.00861651,0.0758547,0.108157,-0.206721,-1.11426,0.000100241,0.797066,0.0270315,0.679656,0.296902,0.233887,3.25166e-05,-0.645266,-0.136098,-0.113567,0.0549389,-0.225941,0.924976,-0.314092,0.557193,0.000997045,-0.13813,-0.206673,0.000454605,0.220627,0.906405,0.135778,1.70047,-0.0222739,0.036089,-1.11551,-0.076055,0.0643851,6.08977,10.0047,0.0784196,0.0287888
2,-2863730000.0,0.713946,0.232759,0.0532951,0.000292127,0.128285,0.327953,0.323874,0.21659,2.53214e-05,0.00120366,0.000112335,0.000412111,0.000227925,0.000953011,2.54865e-05,4.5707e-05,0.203295,0.245254,0.20619,0.108998,0.200693,0.0355703,0.313523,0.130281,0.322049,0.14055,0.0449919,0.0486047,1.74305,0.85,0.1,23.387,26.7844,1.01308,1.5431,0.999988,56.7473,2.79086,0.969484,2.72595,0.770992,2.92325,0.892136,0.513585,0.194832,0.209335,0.0365369,0.00117821,0.558118,-1.42585,1.18568,0.913203,0.532288,0.53173,0.250659,4.00725,577446.0,-1.71645,5.00211,10.0,0.997793,10,5935.91,0.362054,3.45624,1.05861,2.08832,1.40193,3.76394,1.16423,1.11084,1.14187,0.334023,0.116087,3.02288,1.02407,32.3443,9.99911,3.27092,0.886822,0.186051,-1.36499,10.0045,1.05431,0.373118,1.16597,0.434775,2.87666,0.00257085,0.00100075,0.368168,0.177013,0.402675,0.0999988,10.0002,6.33084,0.261418,0.0771107,0.0498949,1.15239,1.20205,1.1022,149.998,200.006,0.133465,20.275,5.0943,1.02576,10.0,1.0,3.92287,46.7287,9.99995,1.0,-0.00207138,0.92725,0.827748,-6.5201,0.303947,0.292313,0.142507,0.332923,2.81451,0.923892,1.57916,0.485514,-0.0966054,1.14951,0.499898,1.17092,-0.0943342,0.00994001,-0.00215899,0.526536,-0.0122893,-0.018032,3.23564,29.9996,-0.966063,1.11315,-1.91716,1.11986,-1.90034,-0.346415,-0.334347,0.533338,-0.993433,0.372546,0.0123696,0.0161899,-0.0361401,0.0430312,0.0102935,-0.178392,-0.0213028,0.312731,0.869175,-0.0298128,-3.672,-0.00426182,0.045642,0.107478,-0.106152,-1.14256,0.000191727,0.750204,0.107735,0.778152,0.189156,0.478579,3.02136e-05,-0.747839,-0.149565,-0.114792,0.0283997,-0.245035,0.867162,-0.226682,0.399837,-0.00263285,-0.0662309,-0.146385,-0.00233945,0.314644,0.580883,0.133283,1.73763,-0.0256697,0.0396207,-1.12512,-0.0806359,0.0755155,6.2153,10.0045,0.0599534,0.029376
3,-2863730000.0,0.715989,0.229756,0.054255,0.00103768,0.130298,0.340277,0.320794,0.204067,3.54089e-05,0.000451273,0.000181288,0.000833304,0.00019586,0.00172476,9.07956e-05,1.39453e-05,0.196942,0.24749,0.213975,0.111017,0.192562,0.038015,0.318361,0.124977,0.325009,0.134492,0.0462183,0.0509436,1.95607,0.85,0.1,23.3824,26.9766,0.994895,1.53373,0.999999,56.7243,2.76427,0.977363,2.74339,0.791264,2.92654,0.899463,0.500714,0.186823,0.20933,0.0344708,0.000340054,0.569037,-0.978145,1.20922,0.915411,0.522541,0.50977,0.251065,4.65561,782731.0,-2.07163,5.0018,10.0,0.997613,10,5935.78,0.354687,3.41861,1.07334,2.05428,1.39065,3.77669,1.15762,0.762072,1.14946,0.318489,0.110954,3.02904,1.03338,32.3915,9.99874,3.25426,0.908885,0.192829,-0.6025,10.0113,1.05105,-0.105969,1.1537,0.443717,2.88987,0.00255554,0.00100015,0.368733,0.176807,0.400779,0.0999971,10.0007,6.34107,0.261302,0.0773132,0.0450926,1.01819,1.20371,1.07748,149.997,200.019,0.132586,20.2734,5.08793,1.02475,9.99999,1.0,4.10879,46.7649,9.99995,1.0,-0.00240691,0.921646,0.818812,-6.47353,0.299738,0.275164,0.146693,0.322985,2.82736,0.923132,1.58,0.489495,-0.000163454,1.15778,-0.0441115,1.2121,-0.502717,-0.0200986,0.000574978,0.538268,-0.0138155,-0.0195286,2.31546,30.0,-0.878067,1.10599,-1.61274,1.09583,-2.47692,-0.582559,-0.645477,-0.58054,-0.995767,0.683543,0.0177323,0.00970036,-0.0170177,0.0706763,0.00719252,0.0590784,-0.249508,0.390288,0.909946,-0.0273914,-3.97928,-0.000893569,0.0600637,0.096875,0.189264,-1.12948,6.40778e-05,0.789975,0.0970906,0.771471,0.23293,0.334534,6.35012e-05,-0.848244,-0.128403,-0.113184,0.051947,-0.324939,0.781286,-0.29098,0.337713,0.0101255,0.357783,-0.411717,-0.000119113,0.268108,0.204813,0.127985,1.73763,-0.0290656,0.0206464,-1.13462,-0.0821366,0.0748364,6.3049,10.0113,0.0810766,0.0269259
4,-2863730000.0,0.708673,0.240415,0.0509116,3.66322e-06,0.11144,0.326926,0.323266,0.235572,0.00111393,0.000150888,6.67809e-05,0.000213201,4.72276e-05,0.00110551,7.49234e-05,2.04497e-05,0.201119,0.250504,0.207339,0.107529,0.202148,0.0313609,0.306332,0.13561,0.343542,0.126338,0.0439368,0.0442416,1.20683,0.85,0.1,23.3593,26.7335,1.00773,1.58537,0.999995,56.7463,2.74853,0.975467,2.73968,0.766299,2.86755,0.911399,0.526656,0.205289,0.201177,0.0367092,0.000354462,0.55647,0.307972,1.216,0.901736,0.520722,0.487244,0.231403,3.67486,1592690.0,-2.90855,5.00351,10.0,0.994867,10,5935.84,0.358797,3.40486,1.05396,2.11028,1.37413,3.74982,1.18165,-0.170654,1.14848,0.333694,0.117163,3.0288,1.03524,32.2134,9.99625,3.2683,0.907104,0.191948,-0.0407096,10.0008,1.04683,1.34303,1.16948,0.451259,2.87516,0.00260352,0.00100152,0.370196,0.174523,0.40366,0.0999999,10.0003,6.32363,0.265056,0.078067,0.0510471,1.2034,1.20241,1.43847,149.996,200.0,0.134045,20.2729,5.06766,1.04194,10.0,1.0,4.81732,46.782,9.99973,1.0,-0.00854881,0.880337,0.73564,-5.96865,0.287075,0.319602,0.144421,0.336851,2.7858,0.957704,1.56458,0.494926,-0.129938,1.14753,-0.44723,1.15508,-0.275076,0.0460427,-0.00116801,0.592447,-0.0109381,-0.0197956,2.08685,29.998,-0.850733,1.10995,-0.625738,1.13083,-2.47344,-0.233709,-0.810521,-0.562975,-0.959332,0.381348,0.0188442,0.0230021,-0.0563463,0.0402218,-0.00837123,0.320808,-0.359539,-0.0284869,0.590859,-0.0160417,-2.36199,0.0349209,0.0987348,0.0622805,0.582809,-1.15527,0.000103063,0.932427,0.0455775,0.608166,0.200282,0.592607,3.08579e-05,-0.214823,-0.0998094,-0.118016,0.0559662,-0.398401,0.27533,-0.226396,0.472464,0.000702581,0.569132,-0.745801,-0.00440254,0.282597,0.642478,0.11275,1.72732,-0.0233176,0.0267377,-1.18394,-0.0907985,0.088006,6.72094,10.0008,0.0355277,-0.0203458
5,-2863730000.0,0.721714,0.228076,0.0502106,4.28358e-05,0.124487,0.339024,0.324603,0.210254,0.000260216,6.02958e-05,4.32865e-05,0.000199211,5.84825e-05,0.000885914,7.24464e-05,9.60502e-06,0.200271,0.253833,0.210215,0.109437,0.19154,0.0347045,0.307424,0.133962,0.334041,0.132568,0.0456143,0.0463895,0.800475,0.85,0.1,23.3665,26.9735,1.02996,1.57306,0.999989,56.727,2.75454,0.970308,2.73568,0.765838,2.88843,0.913343,0.506444,0.196671,0.193254,0.0411692,0.000109715,0.568796,0.276631,1.19519,0.907867,0.506075,0.493867,0.248641,4.78872,1632730.0,-3.15647,5.00205,9.99999,0.990053,10,5935.67,0.352984,3.40787,1.06431,2.09501,1.38967,3.76937,1.16918,-1.13768,1.14208,0.337701,0.118239,3.01181,1.01367,32.2366,9.99554,3.26512,0.87596,0.18661,0.807617,10.0013,1.03449,1.4556,1.15793,0.449362,2.87629,0.0025928,0.00100088,0.372522,0.174886,0.401582,0.0999999,10.0002,6.29614,0.261942,0.0778269,0.0498321,0.655691,1.20453,1.46067,149.995,200.003,0.134309,20.272,5.09852,0.996864,10.0,1.0,4.41772,46.7933,9.9998,1.0,-0.00381788,0.834683,0.81878,-6.29672,0.286889,0.282775,0.141398,0.344944,2.80079,0.962661,1.57367,0.503218,0.00758413,1.15614,-1.44821,1.16594,-0.663778,0.00609521,0.00223745,0.612689,-0.00927848,-0.0223399,2.27306,30.0,-0.549931,1.08538,-1.07622,1.12971,-2.49143,-0.183792,-0.932827,-0.325631,-0.972591,0.686465,0.0129956,0.0256438,-0.0482749,0.0433664,0.0134329,0.138588,-0.436418,-0.0248293,0.12749,0.149672,-3.25315,0.0734408,0.0803222,0.0543935,0.522793,-1.19461,2.2319e-05,0.89131,0.115543,0.582944,0.179275,0.37958,5.1244e-05,-0.500512,-0.0751401,-0.142146,0.0561583,-0.0127635,0.277029,-0.338454,0.569121,-0.00688768,-0.30613,0.14061,-0.00118835,0.271425,0.302018,0.122795,1.73477,-0.0148626,0.0230264,-1.196,-0.0715626,0.0723736,6.82226,10.0013,0.0226858,-0.0161135
6,-2863730000.0,0.72045,0.2319,0.0476498,2.71565e-05,0.117348,0.34259,0.330784,0.205684,0.000429085,0.000127148,6.00116e-05,0.000435397,0.00024449,0.00195823,0.000300366,1.20572e-05,0.201149,0.267412,0.200635,0.10116,0.198218,0.0314256,0.302612,0.125314,0.342805,0.135151,0.0462978,0.0478202,0.753158,0.85,0.1,23.3727,25.8438,1.00563,1.6039,0.999934,56.7285,2.75952,0.971867,2.71639,0.790729,2.88278,0.900351,0.521201,0.197222,0.200854,0.0437492,0.000645781,0.557528,-0.169529,1.1861,0.912964,0.524518,0.486331,0.247757,5.31025,285916.0,-2.33818,5.00581,10.0,0.998432,10,5935.72,0.345194,3.42338,1.07019,2.07594,1.35689,3.78141,1.19806,-1.24383,1.12937,0.335127,0.111868,3.0251,1.02632,32.2884,9.99931,3.28121,0.905216,0.19491,1.26397,10.0359,1.02846,0.518131,1.15256,0.452864,2.8829,0.00258112,0.00100029,0.370701,0.174433,0.401886,0.1,10.0005,6.1873,0.265966,0.075698,0.0480299,1.17236,1.20332,1.43831,150.0,200.007,0.13421,20.2728,5.07702,1.03991,9.99999,0.999999,4.21756,46.7655,9.99987,1.0002,-0.00387819,0.874942,0.794551,-6.29801,0.294404,0.313658,0.150672,0.343968,2.80318,0.931196,1.58748,0.486533,-0.763562,1.1402,-2.95143,1.17754,-0.840074,0.0385194,0.00312807,0.525697,-0.00719478,-0.0183801,3.12272,29.998,-1.1685,1.11982,0.0137694,1.11971,-4.25887,-0.152827,-0.929019,-0.877426,-0.923964,0.423376,0.0132031,0.0195682,0.0570142,0.012168,0.0257011,-0.0384829,-0.65295,-0.241115,0.61996,0.210203,-3.52428,0.0263087,0.0800852,0.0616549,0.895587,-1.19262,8.10753e-05,0.94121,0.23808,0.612796,0.0436516,0.452518,6.97231e-05,-0.55762,-0.0740321,-0.142339,0.0809056,-0.303803,0.218659,-0.249171,0.833941,-0.00816203,-0.619762,0.237974,-0.00326289,0.167942,0.903449,0.120492,1.70931,-0.0259681,0.0357052,-1.19906,-0.0962673,0.0967179,7.05787,10.0359,0.0147498,0.0124426
7,-2863730000.0,0.710387,0.239586,0.0500272,0.00019979,0.125468,0.344752,0.329519,0.19706,0.000363041,3.86434e-05,0.000156728,0.000199069,0.000901947,0.00112837,0.000207356,6.21948e-06,0.203788,0.259842,0.204862,0.105312,0.19515,0.0310455,0.294949,0.128278,0.34253,0.143037,0.0473312,0.0438762,0.54482,0.85,0.1,23.3428,24.7362,1.00307,1.60127,0.999981,56.6987,2.77308,0.99086,2.73414,0.786237,2.88076,0.895615,0.510698,0.184414,0.196266,0.0418809,0.000808503,0.576631,0.0619765,1.19653,0.916132,0.519843,0.463027,0.246781,6.84282,327137.0,-1.33131,5.00525,10.0,0.998689,10,5935.84,0.343309,3.41139,1.05589,2.03495,1.36105,3.75069,1.1851,-1.88531,1.14958,0.332879,0.115039,3.00687,1.02385,32.2609,9.99136,3.29992,0.91224,0.187279,0.110354,10.0058,1.02518,-0.831712,1.13416,0.440456,2.88123,0.00258669,0.00100102,0.36818,0.176325,0.401226,0.0999999,10.0012,6.21055,0.26411,0.0767768,0.0448464,0.906693,1.20275,1.32995,149.999,200.009,0.135856,20.2718,5.07109,1.05008,9.99999,1.0,4.22195,46.7764,9.99998,1.00001,-0.0105896,0.846625,0.741537,-6.00498,0.300366,0.303202,0.152298,0.328258,2.79782,0.944584,1.59556,0.490022,-0.763017,1.1322,-2.55639,1.16684,-0.959946,0.0392426,0.00440522,0.518305,-0.00845773,-0.0162103,2.26795,29.9998,-1.00461,1.12308,-0.397235,1.11893,-3.8113,0.259751,-0.905735,-0.21997,-0.890357,0.393812,0.0252888,0.0144864,-0.00791371,0.00319963,0.0259562,0.077404,-0.596455,-0.261025,-0.232496,-0.0733773,-0.911221,0.0506361,0.0904265,0.0574597,0.929449,-1.25388,-8.20703e-06,0.936205,0.333439,0.61392,-0.0114837,0.547129,6.2996e-05,-0.541737,-0.115228,-0.148352,0.0647648,-0.246949,0.371064,-0.326548,0.734179,-0.00846076,0.0293273,-0.324494,-0.0029332,0.267988,0.854817,0.114266,1.7255,-0.0230897,0.0349608,-1.23107,-0.0928167,0.103544,7.13681,10.0058,0.0236969,0.00752146
8,-2863730000.0,0.726858,0.221613,0.0515283,0.000116524,0.128279,0.331946,0.326516,0.210489,0.000463299,1.20693e-05,0.000115135,0.000109995,0.000278608,0.00121007,0.000445517,1.82558e-05,0.200893,0.246167,0.208561,0.0993352,0.215687,0.0293564,0.315105,0.12434,0.337546,0.131489,0.0414687,0.050051,-0.0505307,0.85,0.1,23.3791,24.1171,1.01306,1.56928,0.999986,56.7476,2.78264,0.975783,2.73476,0.775815,2.92561,0.906571,0.509781,0.19486,0.205572,0.038676,0.000201774,0.56069,-0.0564728,1.18475,0.908945,0.526072,0.45999,0.24035,7.60407,364437.0,-1.03807,5.00275,10.0,0.99556,10,5935.86,0.363454,3.43729,1.08293,2.10066,1.39717,3.77735,1.1655,-1.27414,1.14207,0.323075,0.113222,3.0256,1.04523,32.3269,9.99969,3.28979,0.906381,0.195339,0.883564,10.0204,1.02161,-0.447877,1.14592,0.452761,2.87764,0.00258211,0.00100047,0.367379,0.176843,0.402695,0.0999942,10.0,6.30865,0.263096,0.078477,0.045696,0.853728,1.20402,1.35199,149.998,200.001,0.137266,20.2691,5.09603,1.01828,9.99999,1.0,4.8375,46.7734,9.99998,1.00009,-0.0101316,0.470297,0.782793,-5.52129,0.287229,0.288341,0.151708,0.334074,2.82101,0.932714,1.55132,0.491992,-0.263502,1.16487,-2.91134,1.1806,-0.81333,0.0186298,0.00298452,0.520196,-0.00946671,-0.0163232,2.4198,29.9999,-0.939221,1.1568,-0.989039,1.07573,-3.21832,0.599016,-0.794415,-0.531458,-0.624827,-0.0727701,0.0296466,0.0201522,-0.0721428,0.0403277,0.00356753,-0.17917,-0.544868,-0.24738,-0.091742,0.19498,0.548177,0.0806425,0.0884795,0.0534162,0.747334,-1.30073,8.34546e-05,0.934158,0.117238,0.723094,0.125839,0.739155,3.38494e-05,-0.701468,-0.0723785,-0.14223,0.03605,-0.0899987,0.160147,-0.376786,0.617391,-0.0132199,-0.586062,0.423422,-0.00453768,0.199374,0.42454,0.110558,1.73332,-0.0228259,0.035614,-1.28302,-0.0969958,0.0784985,7.32872,10.0204,-0.010027,0.0214641
9,-2863730000.0,0.717149,0.228828,0.0540224,0.00106131,0.128135,0.32349,0.327278,0.218286,0.000174227,1.59074e-05,0.000118629,9.45941e-05,0.000150702,0.000892241,0.000265474,3.80849e-05,0.194688,0.249568,0.221986,0.0966856,0.205352,0.0317205,0.325837,0.126578,0.327411,0.126536,0.045884,0.0477541,0.146251,0.85,0.1,23.3987,25.62,1.00745,1.58368,0.999989,56.711,2.79063,0.976998,2.7446,0.770323,2.91702,0.889024,0.50325,0.199682,0.207548,0.0365145,3.10857e-05,0.556224,0.262061,1.18399,0.909807,0.525526,0.510478,0.240778,9.19979,482937.0,-0.932974,5.01532,10.0,0.992746,10,5935.73,0.357639,3.43149,1.06073,2.06576,1.39031,3.76989,1.16159,-0.437727,1.12958,0.320124,0.114339,3.03176,1.0273,32.2335,9.99927,3.28077,0.895506,0.188908,0.373682,10.0142,1.0221,0.947393,1.14662,0.45359,2.87924,0.00258587,0.00100011,0.368106,0.180016,0.401968,0.0999996,10.0,6.31773,0.264828,0.078139,0.0515974,1.50443,1.20006,1.25898,149.997,200.02,0.135403,20.2703,5.10114,1.02545,9.99999,1.0,4.69166,46.8064,9.99991,1.00002,-0.00891221,0.481951,0.714795,-5.34397,0.302075,0.293544,0.14687,0.329158,2.81201,0.942914,1.56199,0.490153,0.117795,1.17513,-2.86165,1.15472,-0.842979,0.0188875,0.00323742,0.56144,-0.0110373,-0.019937,2.43587,30.0,-0.404846,1.12721,-0.452209,1.09187,-3.2583,0.622767,-0.647274,0.0862139,-0.217082,-0.415596,0.0202321,0.00970222,-0.0832067,0.0400184,0.0176835,-0.107213,-0.582161,-0.141258,-0.318426,-0.196623,1.34011,0.0745188,0.0859182,0.0517564,0.694493,-1.27549,0.000154859,0.873537,0.121939,0.776412,0.134069,0.681145,4.52137e-05,-0.647478,-0.11788,-0.139042,0.0440519,-0.207157,0.339178,-0.467666,0.766778,-0.00747608,-0.395386,0.311627,-0.00371319,0.187405,0.200329,0.122912,1.74954,-0.0162112,0.05052,-1.28557,-0.111699,0.0733765,7.40004,10.0142,0.00159744,0.0100871
10,-2863730000.0,0.716126,0.236977,0.0468967,0.000105644,0.115404,0.347081,0.332027,0.202148,0.000439139,8.15794e-05,0.000312308,0.000320721,0.000217831,0.00132767,0.000497279,3.83282e-05,0.190161,0.249235,0.208927,0.11067,0.205878,0.0351288,0.321048,0.126286,0.329281,0.132297,0.045441,0.0456466,0.0610311,0.85,0.1,23.3974,26.2461,1.02138,1.54741,0.999993,56.7509,2.75099,0.978085,2.72934,0.777514,2.9273,0.907239,0.503765,0.210802,0.197094,0.0370257,0.000180851,0.554897,-0.110783,1.18501,0.912532,0.517811,0.488686,0.242631,12.1903,2167240.0,-1.0311,5.0028,10.0,0.985006,10,5935.87,0.350242,3.42878,1.08186,2.04084,1.38165,3.75371,1.17334,1.62846,1.17145,0.340966,0.117588,3.02148,1.04202,32.3391,9.9974,3.27756,0.910289,0.195546,-0.054226,10.0173,1.02109,-0.1265,1.15214,0.443881,2.87968,0.00259385,0.00100004,0.363903,0.175096,0.402103,0.0999998,10.0,6.2998,0.263729,0.0780711,0.0515392,0.139922,1.21277,1.3644,149.996,200.001,0.135802,20.271,5.11377,1.02449,9.99999,1.0,4.90963,46.8101,9.99982,1.00011,-0.00800322,0.375818,0.776109,-5.3553,0.293961,0.303238,0.139486,0.330218,2.78447,0.936583,1.58133,0.492075,-0.192871,1.18577,-3.57554,1.18502,-0.91515,0.0303973,0.00391656,0.575631,-0.00879273,-0.0197813,3.03849,29.9994,-0.78844,1.11981,-0.553542,1.12353,-3.60775,0.581647,0.379874,-0.0863561,-0.36367,-0.352117,0.0253356,0.0112917,-0.0314055,0.00410825,0.021186,-0.135039,-0.656883,-0.344586,-0.690289,0.250683,1.33601,0.0951821,0.0668202,0.0547864,0.561022,-1.33108,8.75092e-05,0.80284,0.000422037,0.743503,0.28259,0.504301,5.02306e-05,-0.783337,-0.128092,-0.11348,0.0932475,-0.358216,0.564374,-0.37113,0.74976,-0.00575127,-0.15855,0.343294,-0.00277167,0.181149,-0.711561,0.118571,1.75862,-0.00212551,0.0676459,-1.35488,-0.0912916,0.0888649,7.57301,10.0173,0.0392327,0.0085627
